x1,y1
   1.74815,  34.18883
   0.46737,   5.08439
   0.24297,   2.68714
   0.56405,   6.36554
   1.22037,  19.01616
   0.47795,   5.21730
   0.01129,   1.05746
   0.58363,   6.64315
   0.95354,  13.04167
   1.69951,  32.60437
   0.32146,   3.43395
   0.47569,   5.18867
   1.33103,  21.82836
   1.85419,  37.77522
   1.81721,  36.50423
   1.79378,  35.70998
   0.61778,   7.14213
   0.14027,   1.85872
   0.71229,   8.62038
   1.42001,  24.23146
   0.25138,   2.76246
   1.34236,  22.12723
   1.67540,  31.83275
   1.22587,  19.15144
   1.59175,  29.22811
   1.76561,  34.76717
   0.08004,   1.45145
   1.47298,  25.72227
   1.79852,  35.86983
   0.05003,   1.27016
   0.24763,   2.72872
   0.77237,   9.63429
   0.47595,   5.19196
   0.63300,   7.37044
   1.53715,  27.58847
   0.70114,   8.43845
   1.66395,  31.46974
   1.68566,  32.15985
   0.69876,   8.39987
   0.96238,  13.22135
   0.75717,   9.37231
   0.52675,   5.85352
   1.75368,  34.37141
   1.88350,  38.79799
   1.71058,  32.96157
   0.34790,   3.70777
   1.77569,  35.10317
   1.91760,  40.00565
   0.99705,  13.93821
   0.57940,   6.58259
   0.12100,   1.72213
   0.58808,   6.70712
   1.20325,  18.59862
   1.68270,  32.06540
   1.91232,  39.81734
   1.63695,  30.62152
   0.26079,   2.84806
   1.56063,  28.28767
   0.42044,   4.51632
   1.24520,  19.63016
   0.56419,   6.36748
   1.95757,  41.44461
   0.35969,   3.83342
   0.24517,   2.70671
   0.90281,  12.03451
   1.05977,  15.28381
   1.65816,  31.28687
   1.38543,  23.28249
   1.98899,  42.59368
   1.26061,  20.01603
   0.44312,   4.78639
   1.02371,  14.50231
   0.38645,   4.12695
   1.79039,  35.59596
   1.73009,  33.59614
   0.73450,   8.98846
   1.21510,  18.88721
   1.53740,  27.59571
   1.67565,  31.84079
   0.12659,   1.76114
   0.90125,  12.00435
   1.99765,  42.91314
   1.34512,  22.20038
   1.73627,  33.79833
   0.85957,  11.20869
   1.95474,  41.34194
   1.29756,  20.95721
   1.30203,  21.07240
   0.84023,  10.84900
   0.94610,  12.89130
   0.04665,   1.25063
   0.84629,  10.96119
   1.63026,  30.41324
   0.66454,   7.85555
   0.36035,   3.84053
   0.75857,   9.39633
   0.57833,   6.56735
   0.66003,   7.78528
   0.13522,   1.82236
   0.10835,   1.63569
   0.20264,   2.34167
   1.33012,  21.80434
   0.06204,   1.34097
   1.17834,  17.99966
   0.11598,   1.68752
   1.39727,  23.60538
   0.14993,   1.92948
   1.43306,  24.59449
   1.13862,  17.06464
   1.35056,  22.34482
   1.20815,  18.71788
   0.27771,   3.00552
   0.91737,  12.31948
   1.32690,  21.71987
   1.46486,  25.49096
   1.01092,  14.23025
   1.10487,  16.29025
   1.40855,  23.91492
   0.42013,   4.51272
   0.50101,   5.51312
   0.85713,  11.16306
   0.75009,   9.25150
   0.22638,   2.54189
   1.09843,  16.14458
   0.80770,  10.25748
   0.72176,   8.77636
   1.52642,  27.27186
   1.48617,  26.10034
   0.35404,   3.77297
   1.28202,  20.55861
   1.23843,  19.46184
   1.45566,  25.22976
   1.70779,  32.87130
   1.27356,  20.34350
   1.31062,  21.29491
   1.10301,  16.24806
   1.12637,  16.78164
   1.42589,  24.39473
   0.97745,  13.53053
   1.00817,  14.17213
   0.44750,   4.83951
   1.50546,  26.65868
   1.86245,  38.06208
   1.54336,  27.77257
   1.72269,  33.35469
   0.76649,   9.53247
   0.14941,   1.92561
   0.06835,   1.37912
   1.45386,  25.17897
   0.01588,   1.08141
   1.95340,  41.29330
   0.37152,   3.96182
   1.08808,  15.91182
   0.41332,   4.43327
   1.64672,  30.92719
   0.88772,  11.74289
   1.52510,  27.23288
   0.30055,   3.22539
   0.30163,   3.23596
   0.52354,   5.81039
   1.98712,  42.52473
   0.05783,   1.31589
   0.74398,   9.14797
   0.81086,  10.31422
   1.94463,  40.97574
   1.28750,  20.69866
   0.74971,   9.24500
   1.45547,  25.22455
   1.55793,  28.20695
   0.11863,   1.70571
   1.51127,  26.82782
   0.34503,   3.67747
   1.57344,  28.67302
   1.82778,  36.86522
   0.60768,   6.99260
   0.52420,   5.81933
   0.66119,   7.80329
   0.79236,   9.98448
   1.64387,  30.83769
   0.78400,   9.83716
   0.30503,   3.26954
   1.05776,  15.23957
   1.43050,  24.52310
   0.86203,  11.25486
   1.45681,  25.26251
   1.11280,  16.47059
   0.30282,   3.24771
   1.96193,  41.60292
   0.87700,  11.53803
   1.52950,  27.36244
   1.63039,  30.41724
   0.54498,   6.10089
   0.73649,   9.02171
   0.58816,   6.70828
   1.39269,  23.48023
   1.13711,  17.02975
   0.22523,   2.53200
   0.61789,   7.14371
   0.14579,   1.89898
   0.41097,   4.40605
   1.12550,  16.76146
   1.49916,  26.47557
   0.35450,   3.77786
   0.97831,  13.54828
   0.42298,   4.54623
   0.84338,  10.90731
   1.46511,  25.49788
   0.79587,  10.04669
   0.83513,  10.75512
   1.13281,  16.93023
   0.90974,  12.16975
   1.63573,  30.58365
   0.59217,   6.76610
   1.83163,  36.99724
   0.67688,   8.04968
   0.62567,   7.26005
   1.78581,  35.44182
   0.69324,   8.31093
   1.97732,  42.16483
   1.51515,  26.94106
   0.51108,   5.64507
   0.20186,   2.33531
   0.07131,   1.39726
   1.37475,  22.99324
   1.32114,  21.56886
   0.66557,   7.87167
   0.91744,  12.32070
   0.89611,  11.90465
   0.41003,   4.39517
   0.39672,   4.24268
   0.23688,   2.63331
   1.75802,  34.51504
   0.21774,   2.46801
   0.20830,   2.38864
   0.24575,   2.71192
   1.51950,  27.06843
   1.03934,  14.83843
   1.50426,  26.62357
   1.65472,  31.17852
   1.32921,  21.78043
   1.48629,  26.10378
   1.45952,  25.33930
   0.62674,   7.27616
   1.65192,  31.09037
   0.41567,   4.46060
   1.18731,  18.21428
   0.85280,  11.08218
   1.71390,  33.06926
   1.46353,  25.45312
   0.99429,  13.88045
   1.03870,  14.82462
   1.87110,  38.36347
   1.42009,  24.23379
   1.50305,  26.58864
   0.46839,   5.09704
   0.01895,   1.09762
   0.91021,  12.17891
   0.11837,   1.70396
   1.09478,  16.06236
   0.05615,   1.30598
   0.91481,  12.26912
   1.34609,  22.22611
   1.47209,  25.69694
   1.42363,  24.33204
   0.91443,  12.26152
   1.38214,  23.19306
   0.88000,  11.59526
   0.95483,  13.06783
   0.05666,   1.30897
   1.88987,  39.02226
   1.61603,  29.97252
   1.27581,  20.40062
   0.09228,   1.52954
   0.58232,   6.62434
   0.62171,   7.20077
   1.10876,  16.37863
   1.45850,  25.31030
   1.08348,  15.80885
   1.43756,  24.72055
   0.70183,   8.44972
   0.98538,  13.69462
   0.79705,  10.06761
   0.40347,   4.31963
   0.09253,   1.53116
   1.88722,  38.92883
   1.45787,  25.29241
   1.42130,  24.26728
   1.01892,  14.40016
   0.63192,   7.35420
   1.88387,  38.81122
   0.28982,   3.12102
